Order,Descrition,Period,GST,Annual condition,Net
,,,,amount,,
Brand,Advertising site,,,,,
6060583 Royal,Salute   DF JKT T3 07,,,,,
Royal Salute,,,,,,
"312 Wky visual,",backlit instore anel,01.01.2019 - 31.12.2019,0,"6,050.00 USD",,"6,050.00 USD"
6068532 Royal,Salute   DF JKT T3 07,,,,,
Royal Salute,,,,,,
"311 Wky visual,",backlit backwall,01.01.2019 - 31.12.2019,0,"1,085.00 USD",,"1,085.00 USD"
,,,Net amount,,,"7,135.00 USD"
,,,GST,0%,,0.00 USD
,,,Total,amount,,"7,135.00 USD"
to 20.11.2019,without deduction,,,,,
GST :  00%,,,,,,
GST :  17%,,,,,,
,,,,,,
Bank account name,Bank name &,Account address,no.,SWIFT,,
